travel_id,tram_no,weekday,date,day_of_week,precipitation,thunder,wind,temperature,route_length,stop,time,train,odometer,start,end,interval,interval_same,inbound,outbound,passengers,wheelchair,seating,standing
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0300aF,08:54,14,0,1,0,10.5,15.5,36,0,36,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0301aF,08:56,,410,0,0,10.5,15.5,5,0,41,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0302aF,08:58,,870,0,0,11,15.5,0,2,39,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0303aF,08:59,,1150,0,0,11,15.5,0,1,38,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0200aB,09:02,,1430,0,0,5,15.5,1,13,26,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0600aF,09:05,,1750,0,0,6,15.5,0,3,23,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0601aF,09:07,,2050,0,0,6,15.5,1,1,23,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0602aF,09:09,,2480,0,0,6,15.5,0,7,16,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0700aA,09:10,,2900,0,0,6,15.5,1,3,14,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0503aB,09:13,,3330,0,0,6,15.5,0,0,14,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0502aB,09:14,,3710,0,0,5.5,15.5,0,8,6,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0501aB,09:15,,3970,0,0,6,15.5,0,2,4,1,33,94
1,5,WDS,2024-09-26,THU,0,0,0,18,4390,0500aB,09:16,,4390,0,1,6,15.5,0,4,0,1,33,94
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0500aF,09:18,,7680,0,0,4.5,11,0,2,12,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0501aF,09:19,,8030,0,0,4.5,11,2,0,14,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0502aF,09:21,,8290,0,0,4,11,1,4,11,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0503aF,09:22,,8690,0,0,4.5,11,6,2,15,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0700aC,09:24,,9160,0,0,6,11,5,2,18,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0602aB,09:26,,9510,0,0,4.5,11,3,1,20,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0601aB,09:28,,9960,0,0,4,11,3,1,22,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0600aB,09:31,,10300,0,0,4,11,3,2,23,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0103aB,09:35,,11000,0,0,5.5,11,4,10,17,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0102aB,09:36,,11400,0,0,5.5,11,0,3,14,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0101aB,09:37,,11800,0,0,5.5,11,0,12,2,0,30,96
2,1,WDS,2024-09-26,THU,0,0,0,18,12100,0100aB,09:40,,12100,0,1,6,11,0,2,0,0,30,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0100aF,09:50,,0,1,0,2,12,3,0,3,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0101aF,09:51,,360,0,0,2.5,12,21,1,23,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0102aF,09:53,,770,0,0,2.5,12,0,1,22,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0103aF,09:55,,1120,0,0,2.5,12,10,6,26,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0600aF,09:58,,1890,0,0,6.5,12,2,1,27,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0601aF,10:01,,2180,0,0,6.5,12,3,1,29,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0602aF,10:03,,2620,0,0,9.5,12,2,5,26,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0700aA,10:05,,3040,0,0,12,12,5,5,26,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0503aB,10:07,,3470,0,0,6.5,12,4,1,29,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0502aB,10:08,,3840,0,0,6,12,6,11,24,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0501aB,10:10,,4110,0,0,6.5,12,2,5,21,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0500aB,10:11,,4530,0,0,7,12,3,0,24,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0410aB,10:13,,5060,0,0,12,12,2,6,20,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0409aB,10:16,,5640,0,0,12,12,3,3,20,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0408aB,10:17,,6210,0,0,6,12,1,1,20,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0407aB,10:18,,6770,0,0,6,12,0,0,20,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0406aB,10:20,,7110,0,0,6,12,2,4,18,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0405aB,10:22,,7460,0,0,6,12,7,3,22,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0404aB,10:24,,7960,0,0,6,12,13,10,25,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0403aB,10:26,,8550,0,0,6,12,6,3,28,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0402aB,10:27,,8890,0,0,6,12,2,2,28,1,27,96
3,3,WDS,2024-09-26,THU,0,0,0,19,12100,0401aB,10:28,,9290,0,0,6,12,1,1,28,1,27,96
